"","country","continent","iso_alpha","iso_num","cntry_col","cntnt_col","iso2c","variable","measurement"
"141","Uganda","Africa","UGA",800,"#A75106","#7F3B08","UG","ad_unemp",5.21999979019165
"142","Ukraine","Europe",NA,NA,NA,NA,"UA","ad_unemp",7.69920015335083
"143","United Arab Emirates","Asia",NA,NA,NA,NA,"AE","ad_unemp",3.32949995994568
"144","United Kingdom","Europe","GBR",826,"#36771C","#276419","GB","ad_unemp",2.50999999046326
"145","United States","Americas","USA",840,"#A50026","#40004B","US","ad_unemp",2.45000004768372
"146","Uruguay","Americas","URY",858,"#FDC778","#276419","UY","ad_unemp",3.01029992103577
"147","Venezuela","Americas","VEN",862,"#DB3A2B","#313695","VE","ad_unemp",7.94670009613037
"148","Vietnam","Asia","VNM",704,"#6F247B","#313695","VN","ad_unemp",4.06330013275146
"149","West Bank and Gaza","Asia","PSE",275,"#CFB6D8","#313695","PS","ad_unemp",36.0256004333496
"150","Zambia","Africa","ZMB",894,"#D77911","#276419","ZM","ad_unemp",7.02510023117065
"151","Zimbabwe","Africa","ZWE",716,"#CC6F0D","#7F3B08","ZW","ad_unemp",6.72249984741211
"152","Afghanistan","Asia","AFG",4,"#874D96","#313695","AF","air",56.9108083545081
"153","Albania","Europe","ALB",8,"#D2ECB1","#A50026","AL","air",18.2006025215914
"154","Algeria","Africa","DZA",12,"#A34F06","#313695","DZ","air",38.8840106983002
"155","American Samoa","Oceania",NA,NA,NA,NA,"AS","air",12.4738202417443
"156","Angola","Africa","AGO",24,"#C96C0C","#313695","AO","air",32.3885049076425
"157","Antigua and Barbuda","Americas",NA,NA,NA,NA,"AG","air",18.6223428464755
"158","Argentina","Americas","ARG",32,"#C62026","#A50026","AR","air",13.311833946835
"159","Armenia","Asia",NA,NA,NA,NA,"AM","air",32.5281183420597
"160","Australia","Oceania","AUS",36,"#313695","#7F3B08","AU","air",8.55032440147794
"161","Austria","Europe","AUT",40,"#92C858","#40004B","AT","air",12.4779667308248
"162","Azerbaijan","Asia",NA,NA,NA,NA,"AZ","air",19.9286636166698
"163","Bahamas","Americas",NA,NA,NA,NA,"BS","air",17.3677204858567
"164","Bahrain","Asia","BHR",48,"#E7D4E8","#313695","BH","air",70.8162076823101
"165","Bangladesh","Asia","BGD",50,"#5B1567","#A50026","BD","air",60.8457845768598
"166","Barbados","Americas",NA,NA,NA,NA,"BB","air",23.0801758047572
"167","Belarus","Europe",NA,NA,NA,NA,"BY","air",18.7655799063811
"168","Belgium","Europe","BEL",56,"#6DAD35","#40004B","BE","air",12.8865184713072
"169","Belize","Americas",NA,NA,NA,NA,"BZ","air",23.0118921090113
"170","Benin","Africa","BEN",204,"#EA952F","#7F3B08","BJ","air",38.9999587632257
"171","Bhutan","Asia",NA,NA,NA,NA,"BT","air",37.926503204094
"172","Bolivia","Americas","BOL",68,"#F57748","#7F3B08","BO","air",21.5689865956858
"173","Bosnia and Herzegovina","Europe","BIH",70,"#BFE492","#276419","BA","air",27.7476689647337
"174","Botswana","Africa","BWA",72,"#FDC37B","#40004B","BW","air",23.094386181065
"175","Brazil","Americas","BRA",76,"#AD0826","#276419","BR","air",12.7066294740724
"176","Brunei Darussalam","Asia",NA,NA,NA,NA,"BN","air",5.90306546792381
"177","Bulgaria","Europe","BGR",100,"#8AC34F","#A50026","BG","air",19.1491323370921
"178","Burkina Faso","Africa","BFA",854,"#BE6209","#A50026","BF","air",42.9355925055958
"179","Burundi","Africa","BDI",108,"#E79029","#313695","BI","air",38.8962679482295
"180","Cabo Verde","Africa",NA,NA,NA,NA,"CV","air",34.7787001010668
"181","Cambodia","Asia","KHM",116,"#B797C6","#313695","KH","air",25.6142918675755
